id;start_date;end_date;language
1;2021-03-24T08:31:45;2021-03-24T06:22:00;SPANISH
2;2021-03-23T13:21:56;2021-03-24T08:26:21;SPANISH
3;2021-03-24T04:17:15;2021-03-23T14:51:24;FRENCH
4;2021-03-23T19:34:46;2021-03-24T07:06:12;FRENCH
5;2021-03-24T05:05:04;2021-03-24T09:52:03;FRENCH
6;2021-03-23T22:57:25;2021-03-24T11:05:39;FRENCH
7;2021-03-24T00:42:45;2021-03-23T18:33:36;FRENCH
8;2021-03-23T23:38:58;2021-03-24T09:55:06;SPANISH
9;2021-03-23T22:20:07;2021-03-23T19:01:30;SPANISH
10;2021-03-24T06:32:11;2021-03-23T17:06:41;SPANISH
